brand,model,year,mileage,engine_size,price
BMW,R 18 Classic First Edition,2021,2506.0,18.0,13995.0
BMW,K 1600 B,2021,1619.0,1600.0,22880.0
BMW,S 1000 XR Ice Grey,2020,9606.0,1000.0,15900.0
BMW,K 1600 B Imperial Blue Metallic Premium Safety,2019,16466.0,1600.0,18495.0
BMW,F 750 GS,2019,16477.0,750.0,11495.0
BMW,F 750 GS,2019,49005.0,750.0,8600.0
BMW,S 1000 XR White/Racing Blue/Red Premium,2018,14524.0,1000.0,15900.0
BMW,R 18 B,2023,2.0,18.0,23500.0
BMW,R1250GS 1250 GS,2023,2.0,1250.0,23025.0
BMW,R1250GS 1250 GS,2023,2.0,1250.0,23025.0
BMW,F 900 R,2023,0.0,900.0,12501.0
BMW,F 750 GS,2023,0.0,750.0,13350.0
BMW,F 900 R,2023,0.0,900.0,12501.0
BMW,R 18 CLASSIC,2022,0.0,18.0,23515.0
BMW,C 400 GT,2023,0.0,400.0,9535.0
BMW,R 1250 GS Adventure Rally,2023,0.0,1250.0,25145.0
BMW,R 18 Transcontinental,2023,5.0,18.0,27460.0
BMW,R1200RT,2006,4560.0,1200.0,7995.0
BMW,K 1600 GTL Exclusive,2014,17604.0,1600.0,8493.0
BMW,S 1000 XR,2016,16111.0,1000.0,9995.0
BMW,R 1200 RT,2016,18634.0,1200.0,13990.0
BMW,F 900 R,2023,0.0,900.0,12501.0
BMW,S 1000 XR,2023,5.0,1000.0,20915.0
BMW,R 1250 GS,2023,0.0,1250.0,23290.0
BMW,F 850 GS 850 GS ADVENTURE,2023,0.0,850.0,16425.0
BMW,F 750 GS,2023,0.0,750.0,13595.0
BMW,S 1000 R,2023,0.0,1000.0,20075.0
BMW,R 1200 GS,2014,39149.0,1200.0,12999.0
BMW,S 1000 R,2014,35320.0,1000.0,8995.0
BMW,R 1200 GS,2014,44160.0,1200.0,10995.0
BMW,R 1200 GS,2015,9485.0,1200.0,15999.0
BMW,F 900 R,2023,0.0,900.0,12150.0
BMW,K 1600 B,2018,22174.0,1600.0,15495.0
BMW,K 1600 Grand America Imperial Blue Metallic,2019,16793.0,1600.0,19799.0
BMW,F 900 R Hockenheim Silver Metallic / Racing Red,2020,862.0,900.0,9490.0
BMW,R18 CLASSIC W/ABS,2021,2866.0,18.0,17299.0
BMW,K 1600 GT,2022,25.0,1600.0,27790.0
BMW,F 850 GS Adventure Style Rallye,2022,0.0,850.0,17865.0
BMW,R 1250 GS Adventure Rally,2022,0.0,1250.0,28266.0
BMW,R 1250 RT Carbon Black Metallic Style Elegance,2019,6247.0,1250.0,17948.0
BMW,F 900 XR,2023,0.0,900.0,15475.0
BMW,F 900 R,2023,0.0,900.0,12150.0
BMW,F 900 R,2023,0.0,900.0,12260.0
BMW,F 850 GS 850 GS ADVENTURE,2023,0.0,850.0,16130.0
BMW,K 1600 GTL,2023,0.0,1600.0,29480.0
BMW,R 1250 GS,2023,1.0,1250.0,21935.0
BMW,M 1000 R Blackstorm Metallic/M Motorsport,2023,0.0,1000.0,27535.0
BMW,G 310 GS Rally,2023,0.0,310.0,6485.0
BMW,R 1250 GS Adventure Triple Black,2023,0.0,1250.0,23395.0
BMW,F 750 GS,2023,0.0,750.0,13595.0
BMW,K 1600 B 719 Midnight s,2023,0.0,1600.0,33200.0
BMW,F 750 GS Sport,2023,8.0,750.0,12360.0
BMW,G 310 R Sport,2023,0.0,310.0,5785.0
BMW,G 310 GS Rally,2023,0.0,310.0,6485.0
BMW,R 1250 RT Sport,2023,10.0,1250.0,28160.0
BMW,G310R 310 R,2023,8.0,310.0,5785.0
BMW,F 900 R,2023,0.0,900.0,12260.0
BMW,K 1600 Grand America Exclusive,2023,0.0,1600.0,28820.0
BMW,S 1000 RR,2022,2350.0,1000.0,24999.0
BMW,R 18 Transcontinental,2023,5.0,18.0,29290.0
BMW,F 750 GS,2023,2.0,750.0,13135.0
BMW,S 1000 XR,2023,2.0,1000.0,20585.0
BMW,F 900 XR,2023,2.0,900.0,15475.0
BMW,G 310 GS,2023,2.0,310.0,6290.0
BMW,G 310 GS,2023,2.0,310.0,6485.0
BMW,F 750 GS,2023,1.0,750.0,13205.0
BMW,CE 04,2023,5.0,4.0,14770.0
BMW,F 900 XR,2023,2.0,900.0,15720.0
BMW,K 1600 GTL,2023,2.0,1600.0,30525.0
BMW,R 1250 GS,2023,2.0,1250.0,23110.0
BMW,K 1600 GTL,2023,2.0,1600.0,29480.0
BMW,G 310 GS,2023,2.0,310.0,6485.0
BMW,F 900 R,2023,5.0,900.0,12260.0
BMW,R 1250 RT,2023,2.0,1250.0,28160.0
BMW,R 1250 GS Adventure,2023,2.0,1250.0,26625.0
BMW,R 1250 GS Adventure,2023,7.0,1250.0,26255.0
BMW,R 1250 GS,2023,202.0,1250.0,22076.0
BMW,F 900 R,2023,6.0,900.0,12501.0
BMW,R 1250 GS Adventure,2023,1.0,1250.0,25580.0
BMW,K 1600 B,2023,2.0,1600.0,28820.0
BMW,R 1250 GS Adventure,2023,2.0,1250.0,26005.0
BMW,CE 04,2023,2.0,4.0,14770.0
BMW,G 310 GS,2023,2.0,310.0,6290.0
BMW,G 310 GS,2023,2.0,310.0,6485.0
BMW,R 18 B,2023,201.0,18.0,17495.0
